[2024/8/21 18:0:2] 物品:强效魔法药	怪物:249A6D30魔龙破甲兵	地图:66	X:246	Y:87 
[2024/8/21 18:0:2] 物品:魔法长袍(女)	怪物:2CB99790祖玛弓箭手8	地图:H204	X:51	Y:57 
[2024/8/21 18:0:3] 物品:强效太阳水	怪物:288DFDE0祖玛弓箭手8	地图:H204	X:41	Y:60 
[2024/8/21 18:0:5] 物品:强效金创药	怪物:2885DC70魔龙射手	地图:65	X:190	Y:142 
[2024/8/21 18:0:6] 物品:太阳水	怪物:2AC5AA60祖玛弓箭手8	地图:H204	X:39	Y:59 
[2024/8/21 18:0:6] 物品:重盔甲(女)	怪物:2AC5AA60祖玛弓箭手8	地图:H204	X:39	Y:59 
[2024/8/21 18:0:6] 物品:修罗	怪物:2AC5AA60祖玛弓箭手8	地图:H204	X:39	Y:59 
[2024/8/21 18:0:6] 物品:强效太阳水	怪物:2829B140魔龙射手2	地图:65	X:189	Y:143 
[2024/8/21 18:0:9] 物品:金创药(小量)	怪物:1AC7C180僵尸5	地图:E601	X:4	Y:108 
[2024/8/21 18:0:9] 物品:强效魔法药	怪物:18703840魔龙破甲兵	地图:66	X:257	Y:91 
[2024/8/21 18:0:9] 物品:坚固手套	怪物:18703840魔龙破甲兵	地图:66	X:257	Y:91 
[2024/8/21 18:0:13] 物品:斩马刀	怪物:247C77C0祖玛弓箭手8	地图:H204	X:62	Y:61 
[2024/8/21 18:0:13] 物品:灵魂战衣(男)	怪物:2931E800祖玛弓箭手8	地图:H204	X:61	Y:60 
[2024/8/21 18:0:17] 物品:攻杀剑术	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:隐身术	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:灵魂火符	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:抗拒火环	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:精神力战法	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:火球术	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:治愈术	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
[2024/8/21 18:0:17] 物品:基本剑术	怪物:14B5AA50僵尸50	地图:E601	X:5	Y:107 
