[2024/8/21 21:0:2] 物品:强效魔法药	怪物:1AC30CC0魔龙射手	地图:66	X:82	Y:236 
[2024/8/21 21:0:2] 物品:太阳水	怪物:1AC30CC0魔龙射手	地图:66	X:82	Y:236 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:太阳水	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:金创药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:金创药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:金创药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:魔法药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:魔法药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:魔法药(中量)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效金创药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:强效魔法药	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:恶魔长袍(男)	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:10] 物品:灯笼项链	怪物:156A29D0白野猪8	地图:H204	X:68	Y:28 
[2024/8/21 21:0:16] 物品:强效金创药	怪物:2CC2C2E0魔龙射手	地图:66	X:78	Y:246 
[2024/8/21 21:0:16] 物品:强效金创药	怪物:2CC2C2E0魔龙射手	地图:66	X:78	Y:246 
[2024/8/21 21:0:22] 物品:灵魂战衣(女)	怪物:28A8F310祖玛卫士8	地图:H204	X:66	Y:32 
[2024/8/21 21:0:22] 物品:偃月	怪物:28A8F310祖玛卫士8	地图:H204	X:66	Y:32 
[2024/8/21 21:0:22] 物品:蛇眼戒指	怪物:28A8F310祖玛卫士8	地图:H204	X:66	Y:32 
[2024/8/21 21:0:22] 物品:金戒指	怪物:28A8F310祖玛卫士8	地图:H204	X:66	Y:32 
[2024/8/21 21:0:28] 物品:强效金创药	怪物:2B2E8C20魔龙破甲兵1	地图:66	X:75	Y:246 
[2024/8/21 21:0:39] 物品:强效金创药	怪物:24E0DDC0魔龙破甲兵	地图:66	X:70	Y:241 
[2024/8/21 21:0:39] 物品:强效太阳水	怪物:24E0DDC0魔龙破甲兵	地图:66	X:70	Y:241 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
[2024/8/21 21:0:41] 物品:强效太阳水	怪物:231E5850魔龙树妖	地图:H007	X:92	Y:35 
