[2024/8/21 22:0:1] 物品:黑铁头盔	怪物:266B0B60祖玛雕像83	地图:H008	X:57	Y:19 
[2024/8/21 22:0:8] 物品:黑色水晶戒指	怪物:2C929010牛魔将军8	地图:H010	X:198	Y:366 
[2024/8/21 22:0:14] 物品:魔法长袍(男)	怪物:2B6105F0牛魔侍卫8	地图:H010	X:198	Y:365 
[2024/8/21 22:0:21] 物品:金手镯	怪物:2CC64EB0牛魔法师8	地图:H010	X:195	Y:365 
[2024/8/21 22:0:22] 物品:强效太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:疗伤药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:疗伤药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:疗伤药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:疗伤药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:太阳水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效金创药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效金创药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效魔法药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效魔法药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效金创药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效金创药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效魔法药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:强效魔法药	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
[2024/8/21 22:0:22] 物品:精神力药水	怪物:25516080牛魔王8	地图:H010	X:33	Y:71 
