[2024/8/21 4:0:2] 物品:降魔	怪物:25BC94E0牛魔法师8	地图:H010	X:338	Y:196 
[2024/8/21 4:0:18] 物品:小手镯	怪物:23402AD0祖玛卫士83	地图:H008	X:10	Y:60 
[2024/8/21 4:0:20] 物品:魔法药(中量)	怪物:2A411A30祖玛弓箭手83	地图:H008	X:12	Y:61 
[2024/8/21 4:0:20] 物品:强效太阳水	怪物:2A411A30祖玛弓箭手83	地图:H008	X:12	Y:61 
[2024/8/21 4:0:20] 物品:蛇眼戒指	怪物:2A411A30祖玛弓箭手83	地图:H008	X:12	Y:61 
[2024/8/21 4:0:20] 物品:强效金创药	怪物:2C71A270祖玛雕像8	地图:H204	X:23	Y:69 
[2024/8/21 4:0:20] 物品:强效太阳水	怪物:25E4E460祖玛雕像83	地图:H008	X:11	Y:59 
[2024/8/21 4:0:20] 物品:魔法药(中量)	怪物:28E9DDF0祖玛卫士8	地图:H204	X:45	Y:54 
[2024/8/21 4:0:20] 物品:白色虎齿项链	怪物:28E9DDF0祖玛卫士8	地图:H204	X:45	Y:54 
[2024/8/21 4:0:21] 物品:强效魔法药	怪物:24B32E90祖玛弓箭手83	地图:H008	X:12	Y:58 
[2024/8/21 4:0:21] 物品:强效太阳水	怪物:232FBD20祖玛卫士83	地图:H008	X:12	Y:59 
[2024/8/21 4:0:22] 物品:生铁戒指	怪物:25CAC360牛魔侍卫8	地图:H010	X:341	Y:186 
[2024/8/21 4:0:23] 物品:重盔甲(女)	怪物:255B5A30牛魔法师8	地图:H010	X:340	Y:186 
[2024/8/21 4:0:23] 物品:偃月	怪物:255B5A30牛魔法师8	地图:H010	X:340	Y:186 
[2024/8/21 4:0:25] 物品:道士头盔	怪物:2588DC40祖玛卫士8	地图:H204	X:42	Y:60 
[2024/8/21 4:0:25] 物品:白金项链	怪物:2588DC40祖玛卫士8	地图:H204	X:42	Y:60 
[2024/8/21 4:0:25] 物品:降妖除魔戒指	怪物:2588DC40祖玛卫士8	地图:H204	X:42	Y:60 
[2024/8/21 4:0:25] 物品:白色虎齿项链	怪物:24405120祖玛卫士8	地图:H204	X:42	Y:59 
[2024/8/21 4:0:25] 物品:珍珠戒指	怪物:24405120祖玛卫士8	地图:H204	X:42	Y:59 
[2024/8/21 4:0:25] 物品:黑檀手镯	怪物:2A871640祖玛卫士8	地图:H204	X:43	Y:59 
[2024/8/21 4:0:27] 物品:金戒指	怪物:179A6100祖玛雕像8	地图:H204	X:41	Y:60 
[2024/8/21 4:0:28] 物品:强效太阳水	怪物:25CA5470牛魔祭司8	地图:H010	X:342	Y:186 
[2024/8/21 4:0:28] 物品:强效太阳水	怪物:25CA5470牛魔祭司8	地图:H010	X:342	Y:186 
[2024/8/21 4:0:28] 物品:黑铁头盔	怪物:25CA5470牛魔祭司8	地图:H010	X:342	Y:186 
[2024/8/21 4:0:28] 物品:修罗	怪物:25CA5470牛魔祭司8	地图:H010	X:342	Y:186 
