[2024/8/21 8:0:0] 物品:生铁戒指	怪物:2BC92A30牛魔战士	地图:D2078	X:220	Y:159 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:太阳水	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效金创药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:强效魔法药	怪物:2345AD50虹魔蝎卫8	地图:H204	X:76	Y:70 
[2024/8/21 8:0:0] 物品:魔力手镯	怪物:2386F0F0祖玛卫士8	地图:H204	X:34	Y:68 
[2024/8/21 8:0:2] 物品:强效太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:太阳水	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:金创药(中量)	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:金创药(中量)	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
[2024/8/21 8:0:2] 物品:强效金创药	怪物:24433F80沃玛卫士8	地图:H204	X:75	Y:70 
