[2024/8/21 9:0:3] 物品:强效金创药	怪物:28B09530祖玛卫士8	地图:H204	X:68	Y:65 
[2024/8/21 9:0:8] 物品:琥珀项链	怪物:18335A60祖玛卫士8	地图:H204	X:66	Y:67 
[2024/8/21 9:0:12] 物品:强效太阳水	怪物:22EF2630祖玛雕像8	地图:H204	X:67	Y:65 
[2024/8/21 9:0:16] 物品:强效太阳水	怪物:2CB8FC40祖玛弓箭手8	地图:H204	X:62	Y:62 
[2024/8/21 9:0:16] 物品:海魂	怪物:2CB8FC40祖玛弓箭手8	地图:H204	X:62	Y:62 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:强效太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:太阳水	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:金创药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:金创药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
[2024/8/21 9:0:21] 物品:金创药(中量)	怪物:2C084760白野猪8	地图:H204	X:63	Y:61 
