[2024/8/22 1:0:1] 物品:金创药(小量)	怪物:23698DD0僵尸4	地图:H201	X:176	Y:89 
[2024/8/22 1:0:11] 物品:灵魂火符	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:雷电术	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:抗拒火环	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:精神力战法	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:火球术	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:治愈术	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:基本剑术	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:半月	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:海魂	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:凌风	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔鬼项链	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔力手镯	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:灯笼项链	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:铁剑	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:短剑	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:轻型盔甲(男)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:轻型盔甲(女)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:青铜斧	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:黑檀项链	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:黄色水晶项链	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:黑色水晶项链	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:青铜头盔	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:金创药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:金创药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:金创药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:金创药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔法药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔法药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔法药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:11] 物品:魔法药(小量)	怪物:13974450僵尸50	地图:H201	X:178	Y:81 
[2024/8/22 1:0:13] 物品:金创药(小量)	怪物:2A8F71E0僵尸5	地图:H201	X:174	Y:85 
[2024/8/22 1:0:18] 物品:强效金创药	怪物:15396E20魔龙射手	地图:66	X:159	Y:118 
[2024/8/22 1:0:22] 物品:强效金创药	怪物:28E65820魔龙射手	地图:66	X:161	Y:117 
[2024/8/22 1:0:22] 物品:强效魔法药	怪物:28E65820魔龙射手	地图:66	X:161	Y:117 
[2024/8/22 1:0:27] 物品:太阳水	怪物:239BC340魔龙射手	地图:66	X:159	Y:120 
[2024/8/22 1:0:28] 物品:抗拒火环	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:精神力战法	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:火球术	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:治愈术	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:基本剑术	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:海魂	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:魔鬼项链	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:琥珀项链	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:铁剑	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:短剑	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:轻型盔甲(男)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:轻型盔甲(女)	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:青铜斧	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:黑檀项链	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:黄色水晶项链	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
[2024/8/22 1:0:28] 物品:黑色水晶项链	怪物:289C6950僵尸50	地图:H201	X:174	Y:76 
