[2024/8/22 12:0:2] 物品:竹笛	怪物:17311640魔龙破甲兵	地图:66	X:230	Y:194 
[2024/8/22 12:0:2] 物品:斩马刀	怪物:2B5AC4D0祖玛卫士8	地图:H204	X:20	Y:77 
[2024/8/22 12:0:2] 物品:坚固手套	怪物:2B5AC4D0祖玛卫士8	地图:H204	X:20	Y:77 
[2024/8/22 12:0:5] 物品:降妖除魔戒指	怪物:23FC7DC0祖玛弓箭手8	地图:H204	X:18	Y:78 
[2024/8/22 12:0:7] 物品:强效太阳水	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效太阳水	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效太阳水	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效太阳水	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效太阳水	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效金创药	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效金创药	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效魔法药	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:强效魔法药	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:珍珠戒指	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:死神手套	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:7] 物品:魅力戒指	怪物:23B1A700尸王8	地图:H201	X:48	Y:41 
[2024/8/22 12:0:11] 物品:强效太阳水	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效太阳水	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
[2024/8/22 12:0:11] 物品:强效太阳水	怪物:1BE1DB30尸王8	地图:H201	X:48	Y:40 
