[2024/8/22 13:0:1] 物品:强效金创药	怪物:253658D0魔龙射手	地图:66	X:50	Y:44 
[2024/8/22 13:0:2] 物品:金创药(中量)	怪物:1CECFE90天狼蜘蛛	地图:D10032	X:10	Y:152 
[2024/8/22 13:0:2] 物品:魔法药(中量)	怪物:1CECFE90天狼蜘蛛	地图:D10032	X:10	Y:152 
[2024/8/22 13:0:3] 物品:金创药(小量)	怪物:2A027F60僵尸4	地图:H201	X:173	Y:93 
[2024/8/22 13:0:8] 物品:金创药(小量)	怪物:2BC44B90僵尸5	地图:H201	X:170	Y:93 
[2024/8/22 13:0:10] 物品:道德戒指	怪物:19BE6290祖玛弓箭手8	地图:H204	X:57	Y:53 
[2024/8/22 13:0:10] 物品:金创药(小量)	怪物:1B413180僵尸4	地图:H201	X:175	Y:88 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:太阳水	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:金创药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:金创药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:金创药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:魔法药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:魔法药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:魔法药(中量)	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效金创药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:强效魔法药	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:12] 物品:破魂	怪物:1EEC8270白野猪8	地图:H204	X:56	Y:56 
[2024/8/22 13:0:16] 物品:强效太阳水	怪物:1ED7C940魔龙射手	地图:66	X:56	Y:40 
[2024/8/22 13:0:16] 物品:恶魔铃铛	怪物:1ED7C940魔龙射手	地图:66	X:56	Y:40 
[2024/8/22 13:0:18] 物品:强效太阳水	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效太阳水	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效太阳水	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效太阳水	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效太阳水	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效金创药	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效金创药	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效魔法药	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:强效魔法药	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:骷髅戒指	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:蛇眼戒指	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
[2024/8/22 13:0:18] 物品:黑檀手镯	怪物:19C4FD50尸王8	地图:H201	X:174	Y:91 
