[2024/8/22 16:0:1] 物品:白金项链	怪物:1780B140祖玛弓箭手8	地图:H204	X:40	Y:57 
[2024/8/22 16:0:4] 物品:施毒术	怪物:14BB92B0僵尸1	地图:H201	X:117	Y:155 
[2024/8/22 16:0:5] 物品:蓝翡翠项链	怪物:2C0889F0祖玛雕像8	地图:H204	X:40	Y:57 
[2024/8/22 16:0:11] 物品:金创药(小量)	怪物:1E767790僵尸5	地图:H201	X:110	Y:157 
[2024/8/22 16:0:12] 物品:匕首	怪物:2CD52D60森林雪人	地图:1	X:86	Y:72 
[2024/8/22 16:0:16] 物品:魔法药(小量)	怪物:1E1629A0僵尸5	地图:H201	X:108	Y:164 
[2024/8/22 16:0:18] 物品:金创药(小量)	怪物:1629CB20森林雪人	地图:1	X:83	Y:70 
[2024/8/22 16:0:21] 物品:魅力戒指	怪物:2BD6DE70祖玛弓箭手8	地图:H204	X:39	Y:64 
[2024/8/22 16:0:23] 物品:钢手镯	怪物:15EEFD20森林雪人	地图:1	X:54	Y:46 
[2024/8/22 16:0:25] 物品:金创药(小量)	怪物:1F11FCC0僵尸5	地图:H201	X:98	Y:176 
[2024/8/22 16:0:36] 物品:强效太阳水	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效太阳水	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效太阳水	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效太阳水	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效太阳水	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效金创药	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效金创药	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效魔法药	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:强效魔法药	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:凝霜	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:道德戒指	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:黑檀手镯	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:36] 物品:冰咆哮	怪物:267E7B50尸王8	地图:H201	X:100	Y:179 
[2024/8/22 16:0:37] 物品:凤凰明珠	怪物:2CF2CE60祖玛卫士8	地图:H204	X:29	Y:71 
[2024/8/22 16:0:37] 物品:白色虎齿项链	怪物:2CF2CE60祖玛卫士8	地图:H204	X:29	Y:71 
[2024/8/22 16:0:37] 物品:魔法手镯	怪物:2CF2CE60祖玛卫士8	地图:H204	X:29	Y:71 
[2024/8/22 16:0:45] 物品:抗拒火环	怪物:142AFDC0僵尸2	地图:D401	X:107	Y:106 
[2024/8/22 16:0:45] 物品:火球术	怪物:142AFDC0僵尸2	地图:D401	X:107	Y:106 
[2024/8/22 16:0:48] 物品:金创药(小量)	怪物:24A43DD0僵尸5	地图:H201	X:109	Y:180 
[2024/8/22 16:0:48] 物品:布衣(女)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:木剑	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:乌木剑	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:铁手镯	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:金创药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:金创药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:金创药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:金创药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:魔法药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:魔法药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:魔法药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:48] 物品:魔法药(小量)	怪物:17766760森林雪人0	地图:11	X:82	Y:424 
[2024/8/22 16:0:56] 物品:CHILD	怪物:12008620冰雪法王	地图:JZ001	X:178	Y:195 
[2024/8/22 16:0:56] 物品:龙骨甲(女)	怪物:12008620冰雪法王	地图:JZ001	X:178	Y:195 
[2024/8/22 16:0:56] 物品:魔法长袍(男)	怪物:2CEEDA60巨型蠕虫8	地图:H004	X:67	Y:90 
[2024/8/22 16:0:58] 物品:魔法长袍(女)	怪物:15724B40跳跳蜂8	地图:H004	X:159	Y:116 
[2024/8/22 16:0:58] 物品:海魂	怪物:141DBD60祖玛卫士8	地图:H204	X:24	Y:77 
[2024/8/22 16:0:58] 物品:蓝色水晶戒指	怪物:141DBD60祖玛卫士8	地图:H204	X:24	Y:77 
[2024/8/22 16:1:1] 物品:魔法药(小量)	怪物:2B699D40僵尸3	地图:D401	X:107	Y:108 
[2024/8/22 16:1:5] 物品:金创药(小量)	怪物:24A43DD0僵尸5	地图:H201	X:108	Y:181 
[2024/8/22 16:1:5] 物品:火球术	怪物:24A43DD0僵尸5	地图:H201	X:108	Y:181 
[2024/8/22 16:1:6] 物品:强效太阳水	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效太阳水	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效太阳水	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效太阳水	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效太阳水	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效金创药	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
[2024/8/22 16:1:6] 物品:强效金创药	怪物:1DCD2F80尸王8	地图:H201	X:106	Y:185 
