[2024/8/22 17:0:4] 物品:生铁戒指	怪物:242583F0祖玛雕像8	地图:H204	X:69	Y:27 
[2024/8/22 17:0:7] 物品:强效太阳水	怪物:28C39830虹魔蝎卫80	地图:H008	X:55	Y:18 
[2024/8/22 17:0:7] 物品:强效太阳水	怪物:28C39830虹魔蝎卫80	地图:H008	X:55	Y:18 
[2024/8/22 17:0:7] 物品:幽灵战衣(男)	怪物:28C39830虹魔蝎卫80	地图:H008	X:55	Y:18 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:太阳水	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:金创药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:金创药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:金创药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:魔法药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:魔法药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:魔法药(中量)	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效金创药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:11] 物品:强效魔法药	怪物:1F18C590白野猪8	地图:H204	X:68	Y:27 
[2024/8/22 17:0:16] 物品:强效太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:太阳水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:金创药(中量)	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:金创药(中量)	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效金创药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效金创药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效金创药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:魔法药(中量)	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:魔法药(中量)	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效魔法药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效魔法药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:强效魔法药	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:攻击神水	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:夏普儿手镯	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:地狱雷光	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:困魔咒	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:16] 物品:神圣战甲术	怪物:23E34050沃玛卫士8	地图:H204	X:69	Y:29 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:太阳水	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:金创药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:金创药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:金创药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:魔法药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:魔法药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:魔法药(中量)	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效金创药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
[2024/8/22 17:0:20] 物品:强效魔法药	怪物:25B68540白野猪8	地图:H204	X:67	Y:27 
