[2024/8/22 18:0:5] 物品:太阳水	怪物:23A047C0黑色恶蛆8	地图:H004	X:80	Y:68 
[2024/8/22 18:0:23] 物品:强效金创药	怪物:2863B7F0魔龙刀兵2	地图:631	X:143	Y:156 
[2024/8/22 18:0:37] 物品:辟邪手镯	怪物:24721700祖玛卫士83	地图:H008	X:27	Y:40 
[2024/8/22 18:0:37] 物品:战神盔甲(男)	怪物:24721700祖玛卫士83	地图:H008	X:27	Y:40 
[2024/8/22 18:0:56] 物品:重盔甲(男)	怪物:2A1013E0祖玛雕像83	地图:H008	X:29	Y:42 
[2024/8/22 18:1:32] 物品:强效太阳水	怪物:2313C1D0虹魔蝎卫80	地图:H008	X:20	Y:49 
[2024/8/22 18:1:32] 物品:红宝石戒指	怪物:2313C1D0虹魔蝎卫80	地图:H008	X:20	Y:49 
[2024/8/22 18:1:42] 物品:魔法药(中量)	怪物:2A7068E0祖玛雕像83	地图:H008	X:26	Y:54 
[2024/8/22 18:1:52] 物品:魔法药(中量)	怪物:1EC14A70祖玛卫士83	地图:H008	X:27	Y:54 
[2024/8/22 18:2:12] 物品:强效金创药	怪物:2A94B9B0魔龙射手1	地图:66	X:229	Y:217 
[2024/8/22 18:2:17] 物品:太阳水	怪物:24F16FC0魔龙破甲兵	地图:66	X:228	Y:216 
[2024/8/22 18:2:18] 物品:黑色水晶戒指	怪物:1EF8A6D0祖玛卫士83	地图:H008	X:36	Y:54 
[2024/8/22 18:2:28] 物品:道德戒指	怪物:2B360F40魔龙破甲兵	地图:66	X:228	Y:217 
[2024/8/22 18:2:32] 物品:魔法长袍(女)	怪物:2CD85C20祖玛弓箭手83	地图:H008	X:40	Y:62 
[2024/8/22 18:2:32] 物品:夏普儿手镯	怪物:2CD85C20祖玛弓箭手83	地图:H008	X:40	Y:62 
[2024/8/22 18:2:40] 物品:强效魔法药	怪物:2A12FAB0魔龙破甲兵1	地图:66	X:227	Y:214 
[2024/8/22 18:2:40] 物品:太阳水	怪物:2A12FAB0魔龙破甲兵1	地图:66	X:227	Y:214 
[2024/8/22 18:3:6] 物品:偃月	怪物:2CBFD200祖玛雕像83	地图:H008	X:46	Y:67 
[2024/8/22 18:3:8] 物品:强效魔法药	怪物:2B136F00祖玛弓箭手83	地图:H008	X:47	Y:67 
[2024/8/22 18:3:12] 物品:金创药(中量)	怪物:2D0D8930祖玛雕像83	地图:H008	X:44	Y:66 
[2024/8/22 18:3:12] 物品:强效太阳水	怪物:2D0D8930祖玛雕像83	地图:H008	X:44	Y:66 
[2024/8/22 18:3:12] 物品:黑色水晶戒指	怪物:2D0D8930祖玛雕像83	地图:H008	X:44	Y:66 
[2024/8/22 18:3:23] 物品:强效金创药	怪物:2D0D46A0祖玛弓箭手83	地图:H008	X:50	Y:72 
[2024/8/22 18:3:23] 物品:夏普儿手镯	怪物:2D0D46A0祖玛弓箭手83	地图:H008	X:50	Y:72 
[2024/8/22 18:3:23] 物品:绿宝石矿	怪物:24A4D920变异史莱姆8	地图:H004	X:57	Y:158 
[2024/8/22 18:3:23] 物品:凝霜	怪物:23CF55B0魔龙邪眼1	地图:66	X:220	Y:205 
[2024/8/22 18:3:38] 物品:强效金创药	怪物:29E08F50魔龙战将	地图:66	X:222	Y:204 
