[2024/8/22 23:14:20] 物品:金创药(中量)	怪物:172DA7B0天狼蜘蛛	地图:11	X:149	Y:287 
[2024/8/22 23:14:20] 物品:魔法药(中量)	怪物:172DA7B0天狼蜘蛛	地图:11	X:149	Y:287 
[2024/8/22 23:14:20] 物品:太阳水	怪物:172DA7B0天狼蜘蛛	地图:11	X:149	Y:287 
[2024/8/22 23:14:20] 物品:魔鬼项链	怪物:172DA7B0天狼蜘蛛	地图:11	X:149	Y:287 
[2024/8/22 23:14:36] 物品:金创药(小量)	怪物:13F57AD0稻草人	地图:0	X:274	Y:665 
[2024/8/22 23:20:26] 物品:强效太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:太阳水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:金创药(中量)	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:金创药(中量)	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效金创药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效金创药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效金创药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:魔法药(中量)	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:魔法药(中量)	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效魔法药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效魔法药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:强效魔法药	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:攻击神水	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:死神手套	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:20:26] 物品:野蛮冲撞	怪物:236B9870沃玛卫士8	地图:H003	X:37	Y:57 
[2024/8/22 23:24:6] 物品:强效太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:太阳水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:金创药(中量)	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:金创药(中量)	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效金创药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效金创药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效金创药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:魔法药(中量)	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:魔法药(中量)	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效魔法药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效魔法药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:强效魔法药	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:24:6] 物品:攻击神水	怪物:236B8240沃玛卫士8	地图:H003	X:73	Y:42 
[2024/8/22 23:25:27] 物品:太阳水	怪物:23651650黑色恶蛆8	地图:H004	X:68	Y:94 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:强效太阳水	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:龙鳞	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:火龙凭证	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:珊瑚戒指	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:降妖除魔戒指	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:血饮	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:裁决之杖	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:力量戒指	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:紫碧螺	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:泰坦戒指	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:阎罗手套	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:三眼手镯	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:龙之手镯	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:绿色项链	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:灵魂项链	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:圣战手镯	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:25:36] 物品:法神戒指	怪物:072CA750魔龙树妖	地图:3	X:618	Y:117 
[2024/8/22 23:31:23] 物品:金创药(小量)	怪物:2892A5A0稻草人	地图:0	X:271	Y:658 
[2024/8/22 23:32:27] 物品:强效金创药	怪物:27C03470魔龙刀兵	地图:66	X:250	Y:209 
[2024/8/22 23:32:51] 物品:强效太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:强效太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:强效太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:强效太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:强效太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
[2024/8/22 23:32:51] 物品:太阳水	怪物:2B6397B0沃玛卫士8	地图:H003	X:67	Y:33 
