[2024/8/22 5:0:21] 物品:魔法长袍(女)	怪物:13A22CF0跳跳蜂8	地图:H004	X:189	Y:103 
[2024/8/22 5:1:19] 物品:魔法长袍(男)	怪物:2B3D60C0跳跳蜂8	地图:H001	X:115	Y:118 
[2024/8/22 5:1:33] 物品:太阳水	怪物:2CED26A0黑色恶蛆8	地图:H004	X:141	Y:131 
[2024/8/22 5:2:16] 物品:金创药(小量)	怪物:23465850稻草人	地图:0	X:321	Y:606 
[2024/8/22 5:3:22] 物品:太阳水	怪物:152D0860黑色恶蛆8	地图:H004	X:97	Y:91 
[2024/8/22 5:3:49] 物品:强效太阳水	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效太阳水	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效太阳水	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效太阳水	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效太阳水	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效金创药	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效金创药	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效魔法药	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:强效魔法药	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:49] 物品:道德戒指	怪物:06452BF0尸王8	地图:H201	X:109	Y:138 
[2024/8/22 5:3:53] 物品:强效太阳水	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效太阳水	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效太阳水	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效太阳水	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效太阳水	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效金创药	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效金创药	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效魔法药	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:强效魔法药	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:珍珠戒指	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:黑檀手镯	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:魔力手镯	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:3:53] 物品:群体治疗术	怪物:2AAE52E0尸王8	地图:H201	X:108	Y:140 
[2024/8/22 5:4:1] 物品:攻击力药水	怪物:141F0AE0僵尸5	地图:H201	X:110	Y:136 
[2024/8/22 5:4:1] 物品:金创药(小量)	怪物:1455E900僵尸4	地图:H201	X:110	Y:135 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:太阳水	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:金创药(中量)	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:金创药(中量)	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:魔法药(中量)	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:魔法药(中量)	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效魔法药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
[2024/8/22 5:4:7] 物品:强效金创药	怪物:25F28B90邪恶钳虫8	地图:H004	X:101	Y:80 
