[2024/8/22 9:0:1] 物品:道德戒指	怪物:2CAD8020魔龙破甲兵	地图:66	X:46	Y:126 
[2024/8/22 9:0:13] 物品:太阳水	怪物:25386260黑色恶蛆8	地图:H004	X:47	Y:70 
[2024/8/22 9:0:16] 物品:强效金创药	怪物:17545FA0魔龙射手2	地图:66	X:53	Y:125 
[2024/8/22 9:0:16] 物品:道士头盔	怪物:17545FA0魔龙射手2	地图:66	X:53	Y:125 
[2024/8/22 9:0:16] 物品:道士手镯	怪物:17545FA0魔龙射手2	地图:66	X:53	Y:125 
[2024/8/22 9:0:19] 物品:蓝翡翠项链	怪物:24D29B00魔龙破甲兵	地图:66	X:51	Y:124 
[2024/8/22 9:0:19] 物品:太阳水	怪物:1BD7DD10黑野猪	地图:D713	X:130	Y:292 
[2024/8/22 9:0:31] 物品:紫碧螺	怪物:14BC2E00魔龙射手	地图:66	X:57	Y:123 
[2024/8/22 9:0:31] 物品:重盔甲(男)	怪物:14BC2E00魔龙射手	地图:66	X:57	Y:123 
[2024/8/22 9:0:38] 物品:太阳水	怪物:27520A80魔龙破甲兵	地图:66	X:54	Y:119 
[2024/8/22 9:0:38] 物品:强效魔法药	怪物:27520A80魔龙破甲兵	地图:66	X:54	Y:119 
[2024/8/22 9:0:42] 物品:道德戒指	怪物:25983810魔龙破甲兵	地图:66	X:54	Y:120 
[2024/8/22 9:0:48] 物品:灵魂战衣(男)	怪物:23FB0190魔龙破甲兵	地图:66	X:57	Y:115 
[2024/8/22 9:1:9] 物品:太阳水	怪物:0F393CB0魔龙射手2	地图:66	X:52	Y:112 
[2024/8/22 9:1:15] 物品:强效魔法药	怪物:10FA12E0魔龙破甲兵1	地图:66	X:49	Y:114 
[2024/8/22 9:1:15] 物品:骷髅头盔	怪物:10FA12E0魔龙破甲兵1	地图:66	X:49	Y:114 
[2024/8/22 9:1:15] 物品:魔法长袍(女)	怪物:10FA12E0魔龙破甲兵1	地图:66	X:49	Y:114 
[2024/8/22 9:1:21] 物品:铁腰带	怪物:1576E030魔龙射手	地图:66	X:46	Y:121 
[2024/8/22 9:1:23] 物品:金创药(小量)	怪物:23FB9CE0僵尸5	地图:H201	X:104	Y:169 
[2024/8/22 9:1:23] 物品:太阳水	怪物:23FB9CE0僵尸5	地图:H201	X:104	Y:169 
[2024/8/22 9:1:25] 物品:强效魔法药	怪物:291D4280魔龙破甲兵	地图:66	X:45	Y:120 
[2024/8/22 9:1:28] 物品:强效太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:太阳水	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:金创药(中量)	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:金创药(中量)	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效金创药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效金创药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
[2024/8/22 9:1:28] 物品:强效金创药	怪物:243DD150沃玛卫士8	地图:H003	X:32	Y:54 
